any_selected_count,attack,attack_state,audit_truth,backup_selected_count,below_threshold,group,oracle,period,primary_selected_count,reputation
0,ME,malicious,0.017391304347826087,0,True,attacked,19,42,0,0.0
0,ME,malicious,0.015748031496062992,0,True,attacked,29,42,0,0.01871534200000001
60,ME,reference,0.16326530612244897,60,True,trusted_reference,3,42,0,0.0
0,ME,reference,0.3387096774193548,0,True,trusted_reference,14,42,0,0.19410413973699914
0,ME,reference,0.4375,0,False,trusted_reference,24,42,0,0.45517688042057014
53,ME,malicious,0.015625,0,True,attacked,4,43,53,0.0
5,ME,malicious,0.017391304347826087,0,True,attacked,19,43,5,0.0
2,ME,malicious,0.015748031496062992,2,True,attacked,29,43,0,0.02159305301307086
53,ME,reference,0.16037735849056603,53,True,trusted_reference,3,43,0,0.0
5,ME,reference,0.3387096774193548,5,True,trusted_reference,14,43,0,0.2981300955149746
2,ME,reference,0.43410852713178294,0,False,trusted_reference,24,43,2,0.4766495202432887
13,ME,malicious,0.015345268542199489,0,True,attacked,4,44,13,0.0
0,ME,malicious,0.017391304347826087,0,True,attacked,19,44,0,0.010289565217391307
47,ME,malicious,0.014336917562724014,40,True,attacked,29,44,7,0.0
13,ME,reference,0.16822429906542055,13,True,trusted_reference,3,44,0,0.026008226629452194
0,ME,reference,0.3387096774193548,0,True,trusted_reference,14,44,0,0.3276753597055633
47,ME,reference,0.43609022556390975,7,True,trusted_reference,24,44,40,0.44571032646843334
28,ME,malicious,0.01485148514851485,0,True,attacked,4,45,28,0.0
32,ME,malicious,0.016901408450704224,0,True,attacked,19,45,32,0.0
0,ME,malicious,0.014336917562724014,0,True,attacked,29,45,0,0.0
28,ME,reference,0.17592592592592593,28,True,trusted_reference,3,45,0,0.05358480328269945
32,ME,reference,0.33070866141732286,32,True,trusted_reference,14,45,0,0.14934662136215604
0,ME,reference,0.43609022556390975,0,False,trusted_reference,24,45,0,0.4501988118492315
5,ME,malicious,0.014742014742014743,0,True,attacked,4,46,5,0.0
53,ME,malicious,0.015424164524421594,0,True,attacked,19,46,53,0.0
2,ME,malicious,0.014336917562724014,2,True,attacked,29,46,0,0.0
5,ME,reference,0.17592592592592593,5,True,trusted_reference,3,46,0,0.1676736647196338
53,ME,reference,0.33093525179856115,53,True,trusted_reference,14,46,0,0.046680400848519474
2,ME,reference,0.43609022556390975,0,False,trusted_reference,24,46,2,0.48914816968582264
0,ME,malicious,0.014742014742014743,0,True,attacked,4,47,0,0.0
60,ME,malicious,0.013544018058690745,0,True,attacked,19,47,60,0.0
0,ME,malicious,0.014336917562724014,0,True,attacked,29,47,0,0.0
0,ME,reference,0.17592592592592593,0,True,trusted_reference,3,47,0,0.22111720682373165
60,ME,reference,0.3087248322147651,60,True,trusted_reference,14,47,0,0.023041873982902097
0,ME,reference,0.43609022556390975,0,False,trusted_reference,24,47,0,0.4714833550257522
4,ME,malicious,0.014742014742014743,0,True,attacked,4,48,4,0.0
46,ME,malicious,0.012396694214876033,0,True,attacked,19,48,46,0.0
10,ME,malicious,0.014336917562724014,10,True,attacked,29,48,0,0.0
4,ME,reference,0.1834862385321101,4,True,trusted_reference,3,48,0,0.3078845971928023
46,ME,reference,0.3246753246753247,46,True,trusted_reference,14,48,0,0.0855338338247307
10,ME,reference,0.43609022556390975,0,False,trusted_reference,24,48,10,0.5118275958423177
20,ME,malicious,0.014457831325301205,0,True,attacked,4,49,20,0.0
31,ME,malicious,0.012269938650306749,0,True,attacked,19,49,31,0.0
9,ME,malicious,0.014336917562724014,9,True,attacked,29,49,0,0.007311827956989247
20,ME,reference,0.1891891891891892,20,True,trusted_reference,3,49,0,0.26429636873873286
31,ME,reference,0.325,31,True,trusted_reference,14,49,0,0.14470151567813255
9,ME,reference,0.4444444444444444,0,False,trusted_reference,24,49,9,0.5202660163805984
0,ME,malicious,0.014457831325301205,0,True,attacked,4,50,0,0.0
50,ME,malicious,0.011516314779270634,0,True,attacked,19,50,50,0.0
10,ME,malicious,0.014184397163120567,10,True,attacked,29,50,0,0.0
0,ME,reference,0.1891891891891892,0,True,trusted_reference,3,50,0,0.27168089635765474
50,ME,reference,0.32335329341317365,50,True,trusted_reference,14,50,0,0.034959956304196516
10,ME,reference,0.45255474452554745,0,False,trusted_reference,24,50,10,0.506149934401189
29,OOA,base,0.7142857142857143,0,False,attacked,4,1,29,0.6499952304147465
4,OOA,base,0.5,0,False,attacked,19,1,4,0.5489999999999999
27,OOA,base,0.5,0,False,attacked,29,1,27,0.5224049133148524
11,OOA,reference,0.46153846153846156,11,True,trusted_reference,3,1,0,0.23632057345672178
4,OOA,reference,0.5,4,False,trusted_reference,14,1,0,0.5245
27,OOA,reference,0.5,27,False,trusted_reference,24,1,0,0.5329482758620689
22,OOA,base,0.7142857142857143,0,False,attacked,4,2,22,0.6507878228093904
20,OOA,base,0.5,0,False,attacked,19,2,20,0.5568751714302047
18,OOA,base,0.5,0,False,attacked,29,2,18,0.5477284075242776
0,OOA,reference,0.46153846153846156,0,True,trusted_reference,3,2,0,0.2611475425322552
20,OOA,reference,0.6,20,False,trusted_reference,14,2,0,0.5748105509552571
18,OOA,reference,0.4444444444444444,18,False,trusted_reference,24,2,0,0.49614132183908033
8,OOA,malicious,0.7142857142857143,0,False,attacked,4,3,8,0.566138397399265
6,OOA,malicious,0.36363636363636365,0,True,attacked,19,3,6,0.12741212992851825
32,OOA,malicious,0.3076923076923077,0,True,attacked,29,3,32,0.06407185809047101
0,OOA,reference,0.46153846153846156,0,True,trusted_reference,3,3,0,0.3023527573792666
15,OOA,reference,0.6666666666666666,6,False,trusted_reference,14,3,9,0.6451494503397115
31,OOA,reference,0.42857142857142855,31,False,trusted_reference,24,3,0,0.46139944828643054
0,OOA,honest,0.7142857142857143,0,False,attacked,4,4,0,0.610193529011354
0,OOA,honest,0.36363636363636365,0,True,attacked,19,4,0,0.17321194366497392
0,OOA,honest,0.3076923076923077,0,True,attacked,29,4,0,0.12573951815663853
0,OOA,reference,0.46153846153846156,0,True,trusted_reference,3,4,0,0.3515833126543021
60,OOA,reference,0.6956521739130435,0,False,trusted_reference,14,4,60,0.6108816697500544
0,OOA,reference,0.42857142857142855,0,False,trusted_reference,24,4,0,0.4551571582317795
0,OOA,honest,0.7142857142857143,0,False,attacked,4,5,0,0.6317805435012778
0,OOA,honest,0.36363636363636365,0,True,attacked,19,5,0,0.22469385239583717
0,OOA,honest,0.3076923076923077,0,True,attacked,29,5,0,0.18499667158906052
0,OOA,reference,0.46153846153846156,0,True,trusted_reference,3,5,0,0.4047462847390696
38,OOA,reference,0.6428571428571429,0,True,trusted_reference,14,5,38,0.37978146674968394
