attack,attack_any_count,attack_any_rate,attack_backup_count,attack_below_threshold_count,attack_mean_reputation,attack_primary_count,attack_primary_rate,attack_state,mode_count_parallel_fast,mode_count_serial_safe,mode_count_single_safe,mode_rate_parallel_fast,mode_rate_serial_safe,mode_rate_single_safe,period,requests,trusted_any_count,trusted_any_rate,trusted_below_threshold_count,trusted_mean_reputation,trusted_primary_count,trusted_primary_rate
ME,60,1.0,0,3,0.0,60,1.0,malicious,29,31,,0.48333333333333334,0.5166666666666667,,26,60,60,1.0,3,0.20696634175854467,0,0.0
ME,60,1.0,0,3,0.0,60,1.0,malicious,29,31,,0.48333333333333334,0.5166666666666667,,27,60,60,1.0,3,0.18249833021806436,0,0.0
ME,60,1.0,0,3,0.0,60,1.0,malicious,42,18,,0.7,0.3,,28,60,60,1.0,3,0.17572014254703025,0,0.0
ME,60,1.0,0,3,0.013498444267198392,60,1.0,malicious,32,28,,0.5333333333333333,0.4666666666666667,,29,60,60,1.0,3,0.2060902887974524,0,0.0
ME,60,1.0,0,3,0.0,60,1.0,malicious,29,31,,0.48333333333333334,0.5166666666666667,,30,60,60,1.0,3,0.28814105027179876,0,0.0
ME,60,1.0,0,3,0.011103263774791953,60,1.0,malicious,24,36,,0.4,0.6,,31,60,60,1.0,2,0.3062729617249882,0,0.0
ME,60,1.0,2,3,0.006182318553001143,58,0.9666666666666667,malicious,27,33,,0.45,0.55,,32,60,60,1.0,2,0.26215392591032916,2,0.03333333333333333
ME,60,1.0,11,3,0.0,49,0.8166666666666667,malicious,33,27,,0.55,0.45,,33,60,60,1.0,3,0.19024331534784114,11,0.18333333333333332
ME,60,1.0,0,3,0.0,60,1.0,malicious,34,26,,0.5666666666666667,0.43333333333333335,,34,60,60,1.0,3,0.20946432635919743,0,0.0
ME,60,1.0,0,3,0.008275762790697675,60,1.0,malicious,28,32,,0.4666666666666667,0.5333333333333333,,35,60,60,1.0,3,0.23391428214143506,0,0.0
ME,60,1.0,0,3,0.0,60,1.0,malicious,26,34,,0.43333333333333335,0.5666666666666667,,36,60,60,1.0,3,0.25474836338503676,0,0.0
ME,60,1.0,0,3,0.0,60,1.0,malicious,23,37,,0.38333333333333336,0.6166666666666667,,37,60,60,1.0,3,0.31670295201277304,0,0.0
ME,60,1.0,0,3,0.0,60,1.0,malicious,31,29,,0.5166666666666667,0.48333333333333334,,38,60,60,1.0,3,0.35142025931104565,0,0.0
